postcode,courier_company_id,region,local_region,metro,city,state,state_code,branch_location,routing_code,rto_routing_code,cod,cutoff_time,pickup,delivery,sr_region,blocked,block_reason,sr_metro,sr_local_region,ros,suppress_pickup,suppress_delivery,first_mile_pickup,multi_delivery,blocked_pickup,blocked_delivery,delay_pickup,delay_delivery,pickup_supress_date_from,pickup_supress_date_to,delivery_supress_date_from,delivery_supress_date_to,suppress_remark,supress_on,pickup_delay_date_from,pickup_delay_date_to,pickup_delay_days,delivery_delay_date_from,delivery_delay_date_to,delivery_delay_days,delay_remark,multi_delivery
110046,196,1,1,1,DELHI,DELHI,DL,"NARAINA CITY BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110047,196,1,1,1,DELHI,DELHI,DL,"CHATTARPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110048,196,1,1,1,DELHI,DELHI,DL,"KHIRKI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110049,196,1,1,1,DELHI,DELHI,DL,"KHIRKI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110050,196,1,1,1,DELHI,DELHI,DL,"JHANDEWALAN BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110051,196,1,0,0,DELHI,DELHI,DL,"TRANSYAMUNA BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110052,196,1,0,0,DELHI,DELHI,DL,"WAZIRPUR BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110053,196,1,0,0,DELHI,DELHI,DL,"DURGAPURI BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110054,196,1,1,1,DELHI,DELHI,DL,"WAZIRPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110055,196,1,1,1,DELHI,DELHI,DL,"JHANDEWALAN BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110056,196,1,1,1,DELHI,DELHI,DL,"MEERBAGH BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110057,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110058,196,1,0,0,DELHI,DELHI,DL,"MEERBAGH BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110059,196,1,0,0,DELHI,DELHI,DL,"MEERBAGH BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110060,196,1,1,1,DELHI,DELHI,DL,"NARAINA CITY BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110061,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110062,196,1,1,1,DELHI,DELHI,DL,"OKHLA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110063,196,1,0,0,DELHI,DELHI,DL,"MEERBAGH BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110064,196,1,1,1,DELHI,DELHI,DL,"NARAINA CITY BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110065,196,1,1,1,DELHI,DELHI,DL,"ASHRAM BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110066,196,1,1,1,DELHI,DELHI,DL,"KHIRKI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110067,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110068,196,1,1,1,DELHI,DELHI,DL,"CHATTARPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110069,196,1,1,1,DELHI,DELHI,DL,"JHANDEWALAN BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110070,196,1,1,1,DELHI,DELHI,DL,"MAHIPALPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110071,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110072,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110073,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110074,196,1,1,1,DELHI,DELHI,DL,"CHATTARPUR BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110075,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110076,196,1,1,1,DELHI,DELHI,DL,"OKHLA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110077,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110078,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110079,196,1,1,1,DELHI,DELHI,DL,"DWARKA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110080,196,1,1,1,DELHI,DELHI,DL,"OKHLA BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110081,196,1,1,1,DELHI,DELHI,DL,"ROHINI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110082,196,1,1,1,DELHI,DELHI,DL,"ROHINI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110083,196,1,1,1,DELHI,DELHI,DL,"ROHINI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110084,196,1,0,0,DELHI,DELHI,DL,"WAZIRPUR BRANCH",,,1,11:00,1,1,1,0,,1,0,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
110085,196,1,1,1,DELHI,DELHI,DL,"ROHINI BRANCH",,,1,11:00,1,1,1,0,,1,1,0,0,0,0,"{""action_on"": ""2025-06-04 19:23:27"", ""blocked_fm"": """", ""blocked_lm"": """"}",,,0,0,,,,,,"2025-06-04 19:23:27",,,,,,,,0
